peak	types	genes	states	n_edges
chr15:99273071-99273243	distal	.	.	2
chr15:99275380-99275816	distal	.	.	8
chr15:99437412-99437667	distal	.	.	4
chr15:99565263-99565737	proximal	MEF2A	.	6
chr15:99565826-99566560	proximal	MEF2A	.	4
chr15:99566762-99566918	distal	.	.	4
chr15:99603340-99603722	distal	.	.	4
chr15:99668509-99668673	distal	.	.	2
chr15:99733382-99734008	proximal	LYSMD4	.	8
chr15:99755951-99756101	distal	.	.	2
chr15:99796374-99796524	distal	.	.	8
chr15:99806594-99806805	proximal	ENSG00000259363,ENSG00000290767	.	8
chr16:1025241-1025688	distal	.	.	10
chr16:10269-10465	distal	.	.	8
chr16:1055151-1055398	distal	.	.	8
chr16:10580561-10580806	proximal	EMP2	.	2
chr16:1070613-1070763	distal	.	.	8
chr16:10944341-10944631	proximal	CLEC16A	.	2
chr16:10954029-10954193	distal	.	.	4
chr16:11345320-11345521	proximal	ENSG00000263080	.	8
chr16:11532278-11532465	distal	.	.	4
chr16:11595799-11595949	distal	.	.	8
chr16:11742795-11743135	proximal	TXNDC11	.	2
chr16:11797188-11797896	proximal	ENSG00000277369,ZC3H7A	.	12
chr16:11836286-11836488	distal	.	.	8
chr16:11851228-11851720	proximal	RSL1D1,RSL1D1-DT	.	8
chr16:11851852-11852161	proximal	RSL1D1,RSL1D1-DT	.	8
chr16:11915856-11916310	proximal	GSPT1	.	6
chr16:11949326-11949493	distal	.	.	8
chr16:1198924-1199546	distal	.	.	12
chr16:12019185-12019366	distal	.	.	2
chr16:12318749-12318899	distal	.	.	2
chr16:1238811-1239208	distal	.	.	14
chr16:1300948-1301384	proximal	ENSG00000260710	.	2
chr16:1308593-1309658	proximal	ENSG00000274751,UBE2I	.	12
chr16:1342864-1343531	distal	.	.	12
chr16:1363496-1363724	distal	.	.	6
chr16:13970065-13970215	distal	.	.	2
chr16:1407995-1408469	proximal	ENSG00000260132	.	10
chr16:1420553-1421084	proximal	C16orf91	.	14
chr16:14285465-14286216	distal	.	.	2
chr16:1474867-1475218	proximal	CLCN7	.	18
chr16:1492966-1493461	proximal	TELO2	.	14
chr16:152938-153299	proximal	HBM	.	22
chr16:154395-154710	proximal	HBM	.	8
chr16:1610561-1610879	distal	.	.	16
chr16:1611781-1612484	proximal	CRAMP1,IFT140	.	8
chr16:1631872-1632062	proximal	ENSG00000261732	.	10
chr16:1677954-1678425	proximal	JPT2	.	4
chr16:1679941-1680091	distal	.	.	12
chr16:1705401-1706559	proximal	MAPK8IP3	.	6
chr16:1742329-1742479	distal	.	.	4
chr16:1747748-1748109	distal	.	.	10
chr16:1756394-1756598	distal	.	.	2
chr16:1773496-1773652	proximal	EME2,MRPS34	.	32
chr16:1782499-1783079	proximal	NUBP2	.	4
chr16:181473-181665	distal	.	.	4
chr16:1826544-1826972	proximal	FAHD1,HAGH	.	24
chr16:1827098-1827298	proximal	FAHD1,HAGH	.	8
chr16:18759949-18760169	distal	.	.	8
chr16:18790083-18791015	proximal	RPS15A	.	4
chr16:18998612-18999019	distal	.	.	4
chr16:19086358-19086939	proximal	ENSG00000260430	.	6
chr16:19113424-19113743	proximal	ENSG00000261427,ITPRIPL2	.	8
chr16:19410394-19410892	proximal	TMC5	.	2
chr16:1943185-1943559	proximal	MSRB1	.	6
chr16:19475520-19475670	distal	.	.	4
chr16:1959337-1959616	proximal	NDUFB10	.	4
chr16:1959827-1960005	proximal	NDUFB10	.	4
chr16:1964766-1965147	proximal	RPS2,SNHG9	.	44
chr16:1971874-1972497	proximal	ENSG00000277602,TBL3	.	4
chr16:1983862-1984225	proximal	GFER,NOXO1	.	4
chr16:1984363-1984544	proximal	GFER,NOXO1	.	24
chr16:1992049-1992556	distal	.	.	2
chr16:2003781-2004183	distal	.	.	10
chr16:2009717-2010018	proximal	NPW,ZNF598	.	48
chr16:2010193-2010360	proximal	NPW,ZNF598	.	8
chr16:2022915-2023072	distal	.	.	10
chr16:2023196-2023816	distal	.	.	28
chr16:2047619-2047949	proximal	NTHL1,TSC2	.	36
chr16:20741319-20741523	proximal	THUMPD1	.	2
chr16:20774824-20775062	distal	.	.	4
chr16:20806163-20806616	proximal	REXO5	.	6
chr16:2102896-2103109	distal	.	.	4
chr16:21158512-21158894	proximal	DNAH3,LDAF1	.	16
chr16:2127867-2128711	distal	.	.	8
chr16:21300510-21300925	distal	.	.	2
chr16:21301259-21301915	distal	.	.	2
chr16:2135089-2135324	proximal	PKD1	.	14
chr16:2135939-2136321	proximal	PKD1	.	14
chr16:21404754-21404937	distal	.	.	10
chr16:2155205-2156029	proximal	SNHG19,TRAF7	.	4
chr16:21554690-21555144	distal	.	.	2
chr16:21590039-21590342	distal	.	.	2
chr16:21599219-21599667	distal	.	.	8
chr16:21599732-21600268	distal	.	.	4
chr16:2178590-2178998	distal	.	.	4
chr16:21820337-21820865	proximal	ENSG00000291066	.	4
chr16:21935167-21935515	distal	.	.	2
chr16:21952531-21952727	proximal	ENSG00000274460,UQCRC2	.	8
chr16:21952932-21953153	proximal	ENSG00000274460,UQCRC2	.	12
chr16:21953237-21953465	proximal	ENSG00000274460,UQCRC2	.	8
chr16:21960483-21960633	distal	.	.	10
chr16:2196220-2196418	proximal	CASKIN1	.	2
chr16:22001042-22001446	proximal	PDZD9	.	2
chr16:2205305-2205511	distal	.	.	14
chr16:2205626-2205851	distal	.	.	16
chr16:22077796-22077946	distal	.	.	4
chr16:22092414-22092564	proximal	ENSG00000260277,VWA3A	.	8
chr16:2214769-2215378	proximal	PGP	.	8
chr16:22190432-22191468	distal	.	.	4
chr16:22206017-22206566	proximal	EEF2K	.	2
chr16:2223123-2223802	proximal	E4F1	.	32
chr16:22297072-22297728	proximal	POLR3E	.	8
chr16:22298388-22298694	distal	.	.	2
chr16:22437180-22437652	proximal	CDR2,ENSG00000291060,RRN3P3	.	12
chr16:2251310-2252055	proximal	ECI1	.	22
chr16:2268009-2268592	proximal	MIR3677HG,RNPS1	.	52
chr16:2282128-2282289	distal	.	.	6
chr16:23042-23298	proximal	WASIR2	.	4
chr16:23133490-23133779	distal	.	.	4
chr16:23149390-23149734	proximal	USP31	.	4
chr16:2333192-2333342	distal	.	.	4
chr16:2340286-2340439	proximal	ABCA3	.	8
chr16:2340662-2341117	proximal	ABCA3	.	14
chr16:235039-235292	proximal	FAM234A	.	2
chr16:235478-235678	distal	.	.	18
chr16:23597097-23597277	proximal	NDUFAB1	.	2
chr16:23678387-23678566	proximal	PLK1	.	2
chr16:2428743-2429556	proximal	CCNF	.	2
chr16:24538974-24539680	distal	.	.	2
chr16:2459902-2460454	proximal	ENSG00000260874,TEDC2	.	4
chr16:24723293-24723445	distal	.	.	4
chr16:2474390-2474577	proximal	TBC1D24	.	8
chr16:2474929-2475148	proximal	TBC1D24	.	10
chr16:24838441-24838640	distal	.	.	2
chr16:2501227-2501474	distal	.	.	4
chr16:25015343-25015763	proximal	ARHGAP17	.	4
chr16:2501553-2501766	distal	.	.	4
chr16:25048760-25048974	distal	.	.	2
chr16:25049998-25050157	distal	.	.	2
chr16:25066711-25067014	proximal	LINC02175	.	4
chr16:2513564-2513864	proximal	ATP6V0C,ENSG00000259784	.	20
chr16:25257433-25257661	proximal	ZKSCAN2,ZKSCAN2-DT	.	4
chr16:2531880-2532169	proximal	CEMP1	.	12
chr16:2537666-2538088	proximal	PDPK1	.	18
chr16:2546651-2546907	distal	.	.	16
chr16:2551762-2552101	distal	.	.	8
chr16:2553052-2553215	distal	.	.	8
chr16:2603175-2603916	proximal	ENSG00000291228	.	10
chr16:2673063-2673793	distal	.	.	8
chr16:2682282-2683027	proximal	ERVK13-1,KCTD5	.	12
chr16:2692948-2693122	distal	.	.	6
chr16:2720828-2721638	proximal	PRSS27	.	28
chr16:27235077-27235236	distal	.	.	2
chr16:27244018-27244260	distal	.	.	2
chr16:2751947-2753055	proximal	SRRM2,SRRM2-AS1	.	16
chr16:27599856-27600006	distal	.	.	4
chr16:27685751-27685901	distal	.	.	2
chr16:27726943-27727097	distal	.	.	2
chr16:2777198-2777390	proximal	ELOB,ENSG00000276791	.	20
chr16:2777542-2777871	proximal	ELOB,ENSG00000276791	.	16
chr16:2799453-2799657	distal	.	.	4
chr16:28112144-28112316	distal	.	.	2
chr16:28211770-28212455	proximal	XPO6	.	8
chr16:28277766-28278461	distal	.	.	2
chr16:28291995-28292610	proximal	ENSG00000246465	.	2
chr16:28317186-28317336	distal	.	.	4
chr16:28331667-28331899	distal	.	.	2
chr16:28349578-28349740	distal	.	.	8
chr16:28364900-28365070	distal	.	.	2
chr16:28376333-28376483	distal	.	.	8
chr16:28377118-28377466	distal	.	.	2
chr16:2841970-2842173	proximal	PRSS30P	.	18
chr16:2842368-2842990	proximal	PRSS30P	.	24
chr16:28491701-28492345	proximal	ENSG00000261832	.	8
chr16:28538868-28539263	proximal	NUPR1	.	4
chr16:28553914-28554452	proximal	ENSG00000275441,SGF29	.	4
chr16:2856378-2856858	distal	.	.	14
chr16:28572703-28572902	distal	.	.	2
chr16:28609786-28610149	distal	.	.	2
chr16:28615989-28616183	distal	.	.	2
chr16:28662074-28662252	distal	.	.	12
chr16:28666380-28666598	distal	.	.	2
chr16:2867896-2868053	proximal	ENSG00000263280	.	6
chr16:2868150-2868660	proximal	ENSG00000263280	.	6
chr16:28739679-28739909	distal	.	.	4
chr16:2874512-2874809	distal	.	.	12
chr16:2874895-2875085	distal	.	.	8
chr16:28750007-28750435	distal	.	.	2
chr16:28765600-28765750	distal	.	.	4
chr16:28802899-28803317	proximal	ENSG00000251417	.	2
chr16:28823664-28824189	proximal	ATXN2L,ENSG00000275807	.	8
chr16:2882415-2882882	proximal	FLYWCH2	.	2
chr16:28824275-28824621	proximal	ENSG00000275807	.	4
chr16:2882996-2883971	proximal	FLYWCH2	.	26
chr16:28846181-28846873	proximal	SH2B1,TUFM	.	12
chr16:28879851-28880292	proximal	ATP2A1-AS1	.	4
chr16:28898316-28898478	distal	.	.	12
chr16:28924728-28925868	distal	.	.	6
chr16:28936523-28936892	proximal	RABEP2	.	4
chr16:28945591-28945877	distal	.	.	4
chr16:28950566-28951126	proximal	NFATC2IP	.	6
chr16:28974267-28974870	proximal	ENSG00000261067,SPNS1	.	16
chr16:2898613-2898836	distal	.	.	40
chr16:2904975-2905213	proximal	ENSG00000289222	.	8
chr16:29081850-29082112	distal	.	.	6
chr16:29115040-29115392	proximal	ENSG00000291188	.	6
chr16:29115538-29115776	proximal	ENSG00000291188	.	10
chr16:2911708-2912269	proximal	FLYWCH1	.	6
chr16:29120797-29120957	distal	.	.	8
chr16:29166410-29166560	distal	.	.	12
chr16:29179493-29179671	distal	.	.	10
chr16:2927104-2927273	distal	.	.	4
chr16:2938960-2939110	distal	.	.	4
chr16:29400765-29401113	distal	.	.	2
chr16:29469765-29470005	distal	.	.	4
chr16:29482357-29482583	distal	.	.	8
chr16:29505500-29505692	proximal	NPIPB12	.	8
chr16:29594589-29594740	distal	.	.	22
chr16:29595032-29595745	distal	.	.	4
chr16:2961841-2962060	distal	.	.	10
chr16:29629335-29629782	distal	.	.	12
chr16:2963750-2964262	proximal	KREMEN2	.	14
chr16:29678984-29679435	distal	.	.	28
chr16:2968886-2969036	proximal	PAQR4	.	12
chr16:2969120-2969580	proximal	PAQR4	.	28
chr16:29700586-29700736	distal	.	.	4
chr16:2970119-2970468	distal	.	.	12
chr16:29701534-29701684	distal	.	.	2
chr16:29721694-29721873	distal	.	.	12
chr16:29790387-29790891	proximal	KIF22	.	10
chr16:2980383-2980875	proximal	ENSG00000274367,PKMYT1	.	20
chr16:29811232-29811402	proximal	ENSG00000280893,PRRT2	.	24
chr16:29815893-29816458	proximal	PAGR1	.	12
chr16:29816758-29816922	proximal	ENSG00000281348,PAGR1	.	8
chr16:2983720-2983932	distal	.	.	12
chr16:29848559-29848770	distal	.	.	4
chr16:29862738-29863393	proximal	CDIPT,ENSG00000278713	.	4
chr16:29863452-29863730	proximal	CDIPT,ENSG00000278713	.	36
chr16:29877479-29877922	distal	.	.	2
chr16:29899252-29899837	proximal	ASPHD1,SEZ6L2	.	8
chr16:29900265-29900622	proximal	ASPHD1,SEZ6L2	.	40
chr16:29925293-29925673	proximal	KCTD13	.	6
chr16:29925936-29926952	proximal	KCTD13,KCTD13-DT	.	8
chr16:29943570-29944616	distal	.	.	8
chr16:29951648-29952009	distal	.	.	14
chr16:29961458-29962300	distal	.	.	22
chr16:29995180-29995440	proximal	HIRIP3,INO80E	.	20
chr16:29995537-29995765	proximal	HIRIP3,INO80E	.	20
chr16:29996023-29996308	proximal	HIRIP3,INO80E	.	40
chr16:30020849-30021095	distal	.	.	38
chr16:30021251-30021845	distal	.	.	14
chr16:30032284-30032529	distal	.	.	22
chr16:3003860-3004220	proximal	ENSG00000289281	.	4
chr16:30052968-30053287	proximal	ENSG00000285043,TLCD3B	.	8
chr16:30055146-30055318	distal	.	.	2
chr16:30064833-30065893	proximal	ENSG00000274904	.	2
chr16:30075201-30075394	proximal	PPP4C	.	18
chr16:30075820-30076517	proximal	PPP4C	.	22
chr16:30091807-30092379	proximal	TBX6	.	4
chr16:30096211-30096535	proximal	YPEL3,YPEL3-DT	.	12
chr16:30122819-30123105	proximal	MAPK3	.	8
chr16:30123181-30123544	proximal	MAPK3	.	24
chr16:30165281-30165440	distal	.	.	6
chr16:30182860-30183159	proximal	CORO1A	.	24
chr16:30183311-30183647	proximal	CORO1A	.	12
chr16:30194541-30194873	proximal	BOLA2B,SLX1A,SLX1A-SULT1A3	.	42
chr16:3020210-3020403	proximal	CLDN6	.	4
chr16:3021189-3021683	distal	.	.	4
chr16:30219324-30219525	distal	.	.	2
chr16:3023938-3024105	proximal	HCFC1R1,THOC6	.	24
chr16:3024192-3024442	proximal	HCFC1R1,THOC6	.	12
chr16:3028249-3028414	distal	.	.	6
chr16:30298325-30298648	distal	.	.	4
chr16:3031535-3031864	proximal	ENSG00000205890	.	8
chr16:30334548-30334996	proximal	SMG1P5	.	18
chr16:30335066-30335633	proximal	SMG1P5	.	10
chr16:30354859-30355146	proximal	CD2BP2,CD2BP2-DT	.	12
chr16:30355221-30355967	proximal	CD2BP2,CD2BP2-DT	.	12
chr16:30377577-30377977	proximal	ZNF48	.	12
chr16:30378591-30379224	proximal	ZNF48	.	18
chr16:30400112-30400842	distal	.	.	26
chr16:30409482-30409719	distal	.	.	32
chr16:30445309-30445974	proximal	SEPHS2	.	32
chr16:30473200-30473388	proximal	ITGAL	.	8
chr16:30505248-30505400	distal	.	.	2
chr16:30526519-30527745	proximal	ZNF768	.	12
chr16:30534162-30534351	proximal	ENSG00000261459,ZNF747-DT	.	48
chr16:30534422-30535085	proximal	ENSG00000261459,ZNF747,ZNF747-DT	.	36
chr16:30558152-30558923	proximal	ZNF764	.	16
chr16:30571440-30572312	proximal	ENSG00000239791,ZNF688	.	8
chr16:30615279-30615429	distal	.	.	12
chr16:30615505-30615681	distal	.	.	8
chr16:30628852-30629034	distal	.	.	14
chr16:30633978-30634794	proximal	ENSG00000288983	.	8
chr16:30664023-30664206	distal	.	.	18
chr16:30677531-30677681	distal	.	.	4
chr16:30677882-30678099	distal	.	.	12
chr16:30693946-30694158	distal	.	.	12
chr16:30697916-30698732	proximal	ENSG00000261840,SRCAP	.	8
chr16:30698935-30699496	proximal	ENSG00000261840	.	4
chr16:30705862-30706035	distal	.	.	2
chr16:30730842-30730998	distal	.	.	10
chr16:30747984-30748870	proximal	PHKG2	.	2
chr16:30775372-30775835	distal	.	.	4
chr16:30775896-30776096	distal	.	.	10
chr16:3078242-3078418	distal	.	.	8
chr16:30786355-30786968	proximal	ZNF629	.	8
chr16:30787123-30787320	proximal	ZNF629	.	8
chr16:30793952-30794122	distal	.	.	12
chr16:30805382-30805752	distal	.	.	8
chr16:30814074-30814924	distal	.	.	6
chr16:30844731-30844993	distal	.	.	6
chr16:30856588-30856823	distal	.	.	8
chr16:30874889-30875108	proximal	MIR762HG	.	6
chr16:30875189-30875587	proximal	MIR762HG	.	6
chr16:30893775-30894472	proximal	BCL7C	.	2
chr16:30896512-30897259	proximal	CTF1	.	8
chr16:30902157-30902373	distal	.	.	12
chr16:30902450-30902685	distal	.	.	12
chr16:30922178-30923640	proximal	FBXL19,FBXL19-AS1	.	8
chr16:30927957-30928407	distal	.	.	14
chr16:30941871-30942221	distal	.	.	6
chr16:30957832-30958051	proximal	ENSG00000275263,SETD1A	.	24
chr16:30958124-30958448	proximal	SETD1A	.	2
chr16:30965536-30965763	distal	.	.	10
chr16:30985023-30985511	proximal	HSD3B7	.	16
chr16:30997037-30997496	distal	.	.	16
chr16:3099830-3100420	proximal	ZSCAN10	.	8
chr16:3101418-3101568	distal	.	.	10
chr16:31033145-31034453	proximal	STX4	.	4
chr16:3106461-3106913	proximal	ENSG00000263011	.	20
chr16:31074183-31074713	proximal	ZNF646,ZNF668	.	28
chr16:31094567-31095061	proximal	ENSG00000255439	.	14
chr16:31117438-31118230	proximal	ENSG00000262766	.	10
chr16:3112348-3112681	proximal	ZNF205	.	16
chr16:31142142-31142649	distal	.	.	2
chr16:31179785-31180286	proximal	FUS	.	14
chr16:31180462-31180799	proximal	FUS	.	2
chr16:31215394-31215693	distal	.	.	8
chr16:3123827-3124959	distal	.	.	4
chr16:31260017-31260182	proximal	ITGAM	.	4
chr16:3129637-3130043	proximal	ZNF213	.	22
chr16:3131884-3132066	distal	.	.	2
chr16:31333978-31334128	distal	.	.	4
chr16:3134841-3135543	distal	.	.	4
chr16:3141900-3142050	distal	.	.	4
chr16:31442689-31443281	proximal	ZNF843	.	2
chr16:31459051-31460031	proximal	ENSG00000260267	.	4
chr16:3152760-3152986	distal	.	.	18
chr16:3157338-3157658	proximal	ENSG00000261889	.	18
chr16:3157765-3157951	proximal	ENSG00000261889	.	10
chr16:3158081-3158458	proximal	ENSG00000261889	.	4
chr16:3158732-3159242	distal	.	.	8
chr16:3165927-3166230	distal	.	.	16
chr16:3174259-3174463	distal	.	.	12
chr16:3174957-3175107	distal	.	.	12
chr16:3175494-3175690	distal	.	.	10
chr16:3182708-3183088	distal	.	.	18
chr16:3189294-3189626	distal	.	.	20
chr16:3191808-3192108	distal	.	.	14
chr16:3203163-3203503	distal	.	.	18
chr16:32204-32362	distal	.	.	4
chr16:3235019-3235570	proximal	ZNF200	.	12
chr16:3235977-3236141	proximal	ZNF200	.	4
chr16:324385-325161	distal	.	.	10
chr16:3263622-3263841	proximal	ENSG00000290183,LINC00921	.	16
chr16:3264135-3264346	proximal	ENSG00000290183,LINC00921	.	12
chr16:3264455-3264989	proximal	ENSG00000290183,LINC00921	.	16
chr16:3282388-3282720	proximal	ZNF263	.	6
chr16:3282796-3283625	proximal	ZNF263	.	4
chr16:3305126-3305631	proximal	TIGD7,ZNF75A	.	12
chr16:3364891-3365223	proximal	ENSG00000285329	.	8
chr16:3378231-3378430	distal	.	.	2
chr16:3400663-3401630	proximal	ZNF174,ZSCAN32	.	36
chr16:3457362-3458236	proximal	ENSG00000263212	.	18
chr16:3469211-3469374	distal	.	.	6
chr16:3484854-3485004	distal	.	.	8
chr16:3500739-3501341	proximal	CLUAP1	.	16
chr16:3509629-3509779	distal	.	.	2
chr16:3519133-3519346	distal	.	.	4
chr16:352596-353279	proximal	AXIN1	.	10
chr16:3611504-3612051	proximal	DNASE1,SLX4	.	4
chr16:362198-362406	distal	.	.	10
chr16:3654143-3654480	distal	.	.	4
chr16:3690516-3690715	distal	.	.	4
chr16:370212-370742	proximal	MRPL28	.	6
chr16:3717481-3717763	proximal	TRAP1	.	4
chr16:381628-381800	distal	.	.	6
chr16:38266212-38266607	distal	.	.	2
chr16:38279993-38280268	distal	.	.	2
chr16:3880693-3880982	proximal	CREBBP	.	4
chr16:3903068-3903281	distal	.	.	2
chr16:3938899-3939337	distal	.	.	10
chr16:396608-396820	proximal	NME4	.	4
chr16:4058743-4058893	distal	.	.	2
chr16:4068790-4068940	distal	.	.	4
chr16:4116868-4117018	proximal	ADCY9	.	2
chr16:4183146-4184160	proximal	ENSG00000263105	.	4
chr16:4271770-4272056	distal	.	.	2
chr16:4537814-4538086	proximal	CDIP1	.	4
chr16:4616046-4616669	proximal	MGRN1	.	4
chr16:4624294-4625263	distal	.	.	6
chr16:46386297-46386565	distal	.	.	2
chr16:46399989-46401632	distal	.	.	4
chr16:46689073-46689766	proximal	ORC6,VPS35	.	12
chr16:46736209-46736376	distal	.	.	12
chr16:46748326-46748476	distal	.	.	2
chr16:467869-468260	distal	.	.	10
chr16:46789550-46789700	proximal	MYLK3	.	8
chr16:46830671-46831585	proximal	C16orf87	.	2
chr16:46883799-46884431	proximal	GPT2	.	2
chr16:46884829-46885001	proximal	GPT2	.	4
chr16:46929751-46929981	distal	.	.	12
chr16:47038132-47038324	distal	.	.	4
chr16:47143344-47144080	proximal	ITFG1-AS1,NETO2	.	8
chr16:4729340-4729490	distal	.	.	4
chr16:4734131-4734668	proximal	ANKS3,DNAAF8	.	8
chr16:4767084-4767410	proximal	ZNF500	.	12
chr16:4768626-4768986	distal	.	.	12
chr16:4802401-4803096	proximal	ROGDI	.	4
chr16:48344731-48344902	distal	.	.	2
chr16:48384803-48385185	distal	.	.	4
chr16:48385332-48385533	distal	.	.	2
chr16:4847100-4847939	proximal	GLYR1,UBN1	.	12
chr16:4848083-4848254	proximal	GLYR1	.	4
chr16:48623255-48623529	proximal	ENSG00000260086	.	8
chr16:4881315-4881522	distal	.	.	4
chr16:4893653-4893803	distal	.	.	4
chr16:49281756-49282143	proximal	CBLN1,ENSG00000279249	.	8
chr16:49282234-49282544	proximal	CBLN1,ENSG00000279249	.	8
chr16:49296040-49296263	distal	.	.	8
chr16:49453071-49453278	proximal	ENSG00000262950	.	4
chr16:494692-495051	distal	.	.	12
chr16:49492345-49492704	distal	.	.	4
chr16:4957764-4958557	proximal	SEC14L5	.	6
chr16:49855552-49855908	distal	.	.	16
chr16:49876627-49877039	distal	.	.	4
chr16:49909642-49909792	distal	.	.	6
chr16:50024900-50025529	proximal	CNEP1R1	.	6
chr16:50065505-50066522	proximal	HEATR3,HEATR3-AS1	.	8
chr16:502027-502194	distal	.	.	2
chr16:50355220-50355370	distal	.	.	2
chr16:5043264-5043414	distal	.	.	8
chr16:50548196-50548422	proximal	NKD1	.	2
chr16:5056461-5056611	distal	.	.	4
chr16:50665519-50665669	proximal	ENSG00000260249	.	2
chr16:51151763-51152558	proximal	SALL1	.	2
chr16:53055569-53055719	proximal	CHD9	.	4
chr16:53153321-53153477	distal	.	.	4
chr16:531707-531869	distal	.	.	2
chr16:53339025-53339232	distal	.	.	2
chr16:53528073-53528295	distal	.	.	8
chr16:53714748-53715297	distal	.	.	2
chr16:53742942-53743109	distal	.	.	2
chr16:54094885-54095173	distal	.	.	4
chr16:54193619-54194288	distal	.	.	6
chr16:54286185-54286643	proximal	ENSG00000283689,IRX3	.	16
chr16:54686890-54687299	distal	.	.	8
chr16:547065-547242	distal	.	.	2
chr16:54928732-54929467	proximal	CRNDE	.	8
chr16:54930590-54930872	proximal	ENSG00000289307,IRX5	.	8
chr16:55078792-55078942	distal	.	.	8
chr16:56341485-56341635	distal	.	.	8
chr16:56519806-56520217	distal	.	.	8
chr16:56608451-56608764	proximal	MT2A	.	8
chr16:56682285-56682555	proximal	ENSG00000259827,MT1X	.	20
chr16:56714253-56714403	distal	.	.	4
chr16:56839412-56839562	distal	.	.	2
chr16:56930728-56930878	distal	.	.	4
chr16:56931810-56932440	proximal	HERPUD1	.	4
chr16:56951329-56951484	distal	.	.	6
chr16:56989196-56989368	proximal	NLRC5	.	4
chr16:57028771-57029204	distal	.	.	6
chr16:57045654-57045852	distal	.	.	8
chr16:57185751-57186753	proximal	PSME3IP1,RSPRY1	.	8
chr16:57244670-57245686	proximal	ARL2BP	.	6
chr16:57284265-57284846	proximal	PLLP	.	6
chr16:57300416-57300879	distal	.	.	10
chr16:57407571-57407721	distal	.	.	2
chr16:57417130-57417289	distal	.	.	2
chr16:57430756-57430906	distal	.	.	2
chr16:57462424-57463003	proximal	POLR2C	.	4
chr16:57475910-57476115	distal	.	.	4
chr16:57486083-57486534	distal	.	.	6
chr16:57535915-57536357	proximal	CCDC102A	.	12
chr16:57649108-57649515	distal	.	.	6
chr16:57676080-57676230	distal	.	.	2
chr16:57735246-57736112	proximal	ENSG00000288753,KATNB1	.	12
chr16:57757282-57757627	distal	.	.	2
chr16:57764776-57765190	distal	.	.	2
